run_timestamp,model_name,backtest_name,symbol,horizon,model_component,importance_type,feature_name,avg_raw_importance,median_raw_importance,max_raw_importance,avg_normalized_importance,median_normalized_importance,max_normalized_importance,avg_rank,best_rank,times_ranked,times_top_5,times_top_10,avg_return_pct_pred_when_ranked,avg_return_pct_actual_when_ranked,avg_loss_probability_when_ranked,buy_signal_count_when_ranked
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,ma_slope_3,0.0124160942360359,0.013530937542196,0.0147465109492206,0.0124160942360359,0.013530937542196,0.0147465109492206,25.0,16,7,0,0,-0.0144836425548152,0.0221583051744244,0.5648468781892785,0
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,ma_ratio_52,0.0119722515517334,0.0117001601310736,0.0185264654796314,0.0119722515517334,0.0117001601310736,0.0185264654796314,24.84210526315789,10,19,0,1,-0.012001915337266,0.0072276239643015,0.5319889112568257,2
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_41_ratio,0.01197130568767,0.0114864572559266,0.0176102183109006,0.01197130568767,0.0114864572559266,0.0176102183109006,24.6,11,20,0,0,-0.01132923339154,0.0051011997636487,0.5283885850387184,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_7_ratio,0.0115490828234146,0.0112406771587435,0.0140359944561382,0.0115490828234146,0.0112406771587435,0.0140359944561382,24.7,16,10,0,0,-0.0147398483203064,0.0354728678250428,0.573176514857449,0
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,drawdown_from_high_5,0.0114247352786376,0.0095229733528327,0.0165346843605081,0.0114247352786376,0.0095229733528327,0.0165346843605081,29.307692307692307,13,13,0,0,-0.0133159838973765,0.014553306999946,0.5459474935112371,1
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_11_ratio,0.01128714261985,0.0112475796774693,0.0162706753836115,0.01128714261985,0.0112475796774693,0.0162706753836115,26.83333333333333,11,6,0,0,-0.0166265178370674,0.0372411953545044,0.5606345215252245,0
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,up_days_5,0.0111489912680149,0.0099592250784824,0.0185845061916545,0.0111489912680149,0.0099592250784824,0.0185845061916545,28.6,7,20,0,1,-0.01132923339154,0.0051011997636487,0.5283885850387184,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,return_lag_2,0.0110399232001726,0.0110399232001726,0.0110406570978582,0.0110399232001726,0.0110399232001726,0.0110406570978582,22.5,22,2,0,0,0.0006796804482943,-0.036720572030525,0.4604165869789585,1
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_20_ratio,0.0109736247355755,0.0101362918946502,0.0182545259867087,0.0109736247355755,0.0101362918946502,0.0182545259867087,28.7,10,20,0,1,-0.01132923339154,0.0051011997636487,0.5283885850387184,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,ma_ratio_28,0.010948287988023,0.0108176927208075,0.0160374187549101,0.010948287988023,0.0108176927208075,0.0160374187549101,29.071428571428573,14,14,0,0,-0.0085065888432521,-0.023093146996709,0.4977878917598474,3
